kind,count
Електропостачання,12275
Холодне водопостачання,7169
Каналізація,6644
Обслуговування ліфтів,5064
Санітарне очищення,4349
Гаряче водопостачання,4185
Теплопостачання,4117
Транспортна система,3242
Благоустрій,2906
Запобігання і реагування на надзвичайні ситуації,2395
Озеленення,1772
Інше,1648
Освітлення,1289
Охорона здоров'я,1084
Організація дорожнього руху,833
Конструктивні елементи будинку,666
Зв'язок,392
Зливова каналізація,200
Забезпечення дотримання законності та охорони правопорядку,136
Газопостачання,109
Оплата житлово-комунальних послуг,71
Освіта,64
Димовентиляційна система,44
Діяльність підприємств сфери послуг,24
Питання будівництва та земельних відносин,22
Забезпечення законності та правопорядку,15
Адміністративні послуги,5
Інформаційне забезпечення,5
Ритуальне обслуговування,5
