organizationName,total,completed,completion_rate
"Структурна одиниця ""ВМЕМ"" ПАТ ""Вінницяобленерго""",9383,9279,0.9889
Товариство з обмеженою відповідальністю «Житлово-експлуатаційне об'єднання»,7623,7613,0.9987
Комунальне підприємство «Вінницяоблводоканал»,6613,6600,0.998
Вінницьке міське комунальне підприємство «Вінницяміськліфт»,6203,6201,0.9997
Комунальне підприємство Вінницької міської ради «Вінницяміськтеплоенерго»,2991,2982,0.997
Міське комунальне підприємство «Управляюча компанія «Житло-Гарант»»,2672,2671,0.9996
Комунальне підприємство «Вінницька транспортна компанія»,2421,2407,0.9942
Департамент житлового господарства Вінницької міської ради,2292,2268,0.9895
Міське комунальне підприємство «Управляюча компанія «Господар Люкс»»,1941,1941,1.0
Департамент комунального господарства та благоустрою Вінницької міської ради,1916,1899,0.9911
Головне управління ДСНС України у Вінницькій області,1803,1796,0.9961
Департамант транспорту та міської мобільності Вінницької міської ради,1390,1267,0.9115
Комунальне підприємство «Вінницьке шляхове управління»,1356,1329,0.9801
Міське комунальне підприємтсво «Управляюча компанія «Замостя»»,1349,1347,0.9985
Комунальне підприємство «Муніципальна варта» Вінницької міської ради,1153,1125,0.9757
Міське комунальне унітарне підприємство «Міськсвітло»,1013,1009,0.9961
Міське комунальне підприємтво «Управляюча компанія «Київська»»,950,950,1.0
Комунальне унітарне підприємсво «ЕкоВін»,831,829,0.9976
Міське комунальне підприємство «Вінницязеленбуд»,679,675,0.9941
Комунальне підприємство «Вінницька спеціалізована монтажно-експлуатаційна дільниця з організації дорожнього руху»,649,638,0.9831
Відділ оперативного реагування «Цілодобова варта» Вінницької міської ради,623,570,0.9149
Комунальне некомерційне підприємство «Територіальне медичне об'єднання «Вінницький обласний центр екстреної медичної допомоги та медицини катастроф» Вінницької обласної ради,608,604,0.9934
Міське комунальне підприємство «Управляюча компанія «Територія Комфорту»»,511,511,1.0
Асоціація органів самоорганізації населення м.Вінниці,505,494,0.9782
Департамент охорони здоров'я Вінницької міської ради,464,456,0.9828
Департамент міського господарства Вінницької міської ради,294,293,0.9966
Комунальне підприємство «Вінницький інформаційний центр»,235,226,0.9617
Міське комунальне підприємство «Адміністративно-технічний центр»?,230,224,0.9739
Приватне підприємство «Бокуд»,215,215,1.0
Департамент відновлення та розвитку Вінницької міської ради,178,122,0.6854
Товариство з обмеженою відповідальністю «Рембудмонтаж-ВВС»,173,171,0.9884
Комунальне підприємство «Вінницяоблтеплоенерго»,133,132,0.9925
Приватне підприємство «Добробуд-Він»,132,132,1.0
Департамент адміністративних послуг Вінницької міської ради,131,121,0.9237
Департамент освіти Вінницької міської ради,126,118,0.9365
Головне управління Національної поліції у Вінницькій області,111,110,0.991
Вінницька філія ТОВ «Газорозподільні мережі України»,110,110,1.0
Комунальне підприємство Вінницької міської ради «Дирекція парків та дозвілля територіальної громади»,89,74,0.8315
Товариство з обмеженою відповідальністю «Центр муніципальних систем управління»,69,69,1.0
ФОП Нижник Олексій Владиславович,60,60,1.0
Мале підприємство «Інвар» у формі товариства з обмеженою відповідальністю,55,54,0.9818
Комунальне підприємство Вінницької міської ради «Комбінат комунальних підприємств»,53,52,0.9811
Сруктурна одиниця «Вінницькі центральні ЕМ» ПАТ «Вінницяобленерго»,47,47,1.0
Дочірнє підприємство «Житлово-експлуатаційна контора №26» приватного підприємства «Вектор 2»,43,43,1.0
Комітет по фізичній культурі і спорту Вінницької міської ради,42,6,0.1429
Відділ по розвитку об'єднань співвласників багатоквартирних будинків Вінницької міської ради,35,30,0.8571
Департамент соціальної політики Вінницької міської ради,32,31,0.9688
Приватне підприємство «Ступак і Ко»,30,24,0.8
Департамент цивільного захисту Вінницької міської ради,29,21,0.7241
Департамент архітектури та містобудування Вінницької міської ради,29,23,0.7931
ФОП Кіпр Павло Іванович,25,25,1.0
"ПП ""Вінницька ліфтова компанія""",18,18,1.0
Департамент культури Вінницької міської ради,11,11,1.0
ФОП Харкова Марина Володимирівна,11,9,0.8182
Департамент маркетингу міста та туризму Вінницької міської ради,6,4,0.6667
Вінницько-Хутірський старостинський округ,5,4,0.8
Департамент архітектурно-будівельного контролю Вінницької міської ради,5,3,0.6
Департамент капітального будівництва Вінницької міської ради,5,4,0.8
Департамент інформаційних технологій Вінницької міської ради,4,2,0.5
Департамент комунального майна Вінницької міської ради,3,3,1.0
Вінницька філія ПАТ «Укртелеком»,2,2,1.0
Товариство з обмеженою відповідальністю «Житлово-експлуатаційне об'єднання-1»,2,2,1.0
ФОП Комар Руслан Михайлович,2,2,1.0
Міське комунальне підприємство «Аварійно-диспетчерська служба»,2,2,1.0
Відділ звернень апарату Вінницької міської ради та її виконавчого комітету,1,0,0.0
Деснянський старостинський округ,1,1,1.0
Департамент кадрової політики Вінницької міської ради,1,1,1.0
Департамент економіки і інвестицій Вінницької міської ради,1,0,0.0
"Приватне підприємство ""ЖЕО-Тяжилів""",1,1,1.0
"Товариство з обмеженою відповідальністю ""Управитель-В""",1,1,1.0
"Товариство з обмеженою відповідальністю ""Еліт комфорт""",1,1,1.0
Стадницький старостинський округ,1,1,1.0
Товариство з обмеженою відповідальністю «Фінансова компанія «Муніципальні платіжні системи»,1,1,1.0
